REF_AREA,Measure,OBS_VALUE,TIME_PERIOD
NOR,Share of population who are overweight or obese,48.0,2019
NOR,Share of population who are overweight or obese,52.0,2022
CHE,Share of population who are overweight or obese,50.4,2012
CHE,Share of population who are overweight or obese,50.9,2017
GBR,Share of population who are overweight,41.6,2010
GBR,Share of population who are overweight,41.4,2011
GBR,Share of population who are overweight,42.2,2012
GBR,Share of population who are overweight,41.1,2013
GBR,Share of population who are overweight,41.0,2014
GBR,Share of population who are overweight,40.9,2015
GBR,Share of population who are overweight,39.9,2016
GBR,Share of population who are overweight,39.8,2017
GBR,Share of population who are overweight,40.8,2018
GBR,Share of population who are overweight,41.2,2019
DEU,Share of population who are obese,23.6,2012
HUN,Share of population who are obese,31.5,2014
HUN,Share of population who are obese,30.8,2019
EST,Share of population who are obese,18.5,2014
KOR,Share of population who are overweight or obese,25.7,2010
KOR,Share of population who are overweight or obese,27.6,2011
KOR,Share of population who are overweight or obese,28.7,2012
KOR,Share of population who are overweight or obese,26.4,2013
KOR,Share of population who are overweight or obese,24.9,2014
KOR,Share of population who are overweight or obese,28.4,2015
KOR,Share of population who are overweight or obese,28.5,2016
KOR,Share of population who are overweight or obese,27.7,2017
KOR,Share of population who are overweight or obese,27.4,2018
KOR,Share of population who are overweight or obese,26.8,2019
KOR,Share of population who are overweight or obese,29.6,2020
KOR,Share of population who are overweight or obese,29.0,2021
BRA,Share of population who are obese,15.5,2010
BRA,Share of population who are obese,16.0,2011
BRA,Share of population who are obese,18.2,2012
BRA,Share of population who are obese,17.5,2013
BRA,Share of population who are obese,15.5,2014
BRA,Share of population who are obese,16.2,2015
BRA,Share of population who are obese,19.6,2016
BRA,Share of population who are obese,18.7,2017
BRA,Share of population who are obese,20.7,2018
BRA,Share of population who are obese,21.0,2019
BRA,Share of population who are obese,22.6,2020
BRA,Share of population who are obese,22.6,2021
BEL,Share of population who are daily smokers,18.9,2013
BEL,Share of population who are daily smokers,15.4,2018
POL,Share of population who are daily smokers,17.2,2014
POL,Share of population who are daily smokers,14.1,2019
ROU,Tobacco consumption,13.0,2014
ROU,Tobacco consumption,13.8,2019
EST,Share of population who are daily smokers,25.6,2010
EST,Share of population who are daily smokers,21.9,2012
EST,Share of population who are daily smokers,15.3,2014
EST,Share of population who are daily smokers,18.5,2016
EST,Share of population who are daily smokers,13.1,2018
EST,Share of population who are daily smokers,14.3,2020
EST,Share of population who are daily smokers,9.5,2022
AUT,Share of population consuming vegetables daily,47.5,2014
AUT,Share of population consuming vegetables daily,47.3,2019
POL,Share of population consuming vegetables daily,51.0,2014
POL,Share of population consuming vegetables daily,47.5,2019
FRA,Share of population who are overweight,23.3,2010
FRA,Share of population who are overweight,24.6,2012
FRA,Share of population who are overweight,25.1,2014
FRA,Share of population who are overweight,25.6,2017
FRA,Share of population who are overweight,25.5,2019
KOR,Share of population who are obese,1.6,2010
KOR,Share of population who are obese,1.6,2011
KOR,Share of population who are obese,1.8,2012
KOR,Share of population who are obese,1.9,2013
KOR,Share of population who are obese,1.9,2014
KOR,Share of population who are obese,2.1,2015
KOR,Share of population who are obese,2.3,2016
KOR,Share of population who are obese,2.3,2017
KOR,Share of population who are obese,3.2,2018
BEL,Share of population who are overweight or obese,41.7,2013
BEL,Share of population who are overweight or obese,43.4,2018
CZE,Share of population who are obese,21.0,2010
ISR,Share of population who are obese,18.5,2015
LTU,Share of population who are overweight or obese,53.3,2014
LTU,Share of population who are overweight or obese,55.0,2019
LTU,Share of population consuming vegetables daily,54.5,2014
LTU,Share of population consuming vegetables daily,53.8,2019
HRV,Share of population who are obese,18.0,2014
HRV,Share of population who are obese,22.6,2019
GRC,Share of population who are daily smokers,13.4,2014
GRC,Share of population who are daily smokers,7.9,2019
IRL,Share of population consuming fruits daily,48.0,2015
IRL,Share of population consuming fruits daily,48.0,2016
IRL,Share of population consuming fruits daily,55.0,2017
IRL,Share of population consuming fruits daily,69.0,2018
IRL,Share of population consuming fruits daily,59.0,2021
SVN,Share of population consuming fruits daily,60.7,2014
SVN,Share of population consuming fruits daily,54.8,2019
DNK,Share of population who are daily smokers,22.7,2010
DNK,Share of population who are daily smokers,18.6,2013
DNK,Share of population who are daily smokers,18.5,2017
DNK,Share of population who are daily smokers,15.2,2021
NZL,Share of population who are daily smokers,15.9,2012
NZL,Share of population who are daily smokers,15.2,2013
NZL,Share of population who are daily smokers,14.4,2014
NZL,Share of population who are daily smokers,14.0,2015
NZL,Share of population who are daily smokers,13.1,2016
NZL,Share of population who are daily smokers,12.8,2017
NZL,Share of population who are daily smokers,12.2,2018
NZL,Share of population who are daily smokers,11.5,2019
NZL,Share of population who are daily smokers,11.3,2020
NZL,Share of population who are daily smokers,9.2,2021
NZL,Share of population who are daily smokers,7.3,2022
BRA,Share of population who are overweight or obese,48.1,2010
BRA,Share of population who are overweight or obese,48.5,2011
BRA,Share of population who are overweight or obese,51.0,2012
BRA,Share of population who are overweight or obese,50.8,2013
BRA,Share of population who are overweight or obese,52.2,2014
BRA,Share of population who are overweight or obese,52.3,2015
BRA,Share of population who are overweight or obese,53.8,2016
BRA,Share of population who are overweight or obese,54.0,2017
BRA,Share of population who are overweight or obese,55.7,2018
BRA,Share of population who are overweight or obese,55.4,2019
BRA,Share of population who are overweight or obese,57.5,2020
BRA,Share of population who are overweight or obese,57.2,2021
NOR,Share of population consuming fruits daily,62.0,2012
NOR,Share of population consuming fruits daily,54.0,2015
NOR,Share of population consuming fruits daily,51.0,2019
NOR,Share of population consuming fruits daily,58.0,2022
TUR,Share of population consuming fruits daily,54.9,2010
TUR,Share of population consuming fruits daily,53.7,2012
TUR,Share of population consuming fruits daily,45.9,2014
TUR,Share of population consuming fruits daily,50.2,2016
TUR,Share of population consuming fruits daily,43.4,2019
CZE,Tobacco consumption,14.7,2010
CZE,Tobacco consumption,12.3,2011
CZE,Tobacco consumption,14.0,2012
CZE,Tobacco consumption,10.9,2013
CZE,Tobacco consumption,11.4,2014
CZE,Tobacco consumption,11.0,2015
CZE,Tobacco consumption,12.4,2016
CZE,Tobacco consumption,12.3,2017
CZE,Tobacco consumption,12.1,2018
CZE,Tobacco consumption,11.2,2019
CZE,Tobacco consumption,12.7,2020
CZE,Tobacco consumption,10.9,2021
PRT,Share of population who are daily smokers,23.5,2014
PRT,Share of population who are daily smokers,20.2,2019
CHE,Share of population who are overweight,30.8,2012
CHE,Share of population who are overweight,30.6,2017
EST,Share of population who are overweight,31.7,2010
EST,Share of population who are overweight,29.9,2012
EST,Share of population who are overweight,32.5,2014
EST,Share of population who are overweight,32.5,2016
EST,Share of population who are overweight,31.6,2018
EST,Share of population who are overweight,31.1,2020
EST,Share of population who are overweight,31.7,2022
ISR,Share of population who are overweight,41.1,2010
ISR,Share of population who are overweight,43.2,2013
ISR,Share of population who are overweight,42.4,2014
ISR,Share of population who are overweight,41.9,2016
ISR,Share of population who are overweight,42.1,2017
ISR,Share of population who are overweight,43.0,2019
ISR,Share of population who are overweight,43.3,2020
CHL,Share of population who are overweight or obese,51.9,2015
CHL,Share of population who are overweight or obese,64.3,2021
AUS,Share of population who are overweight,35.0,2011
AUS,Share of population who are overweight,35.5,2014
AUS,Share of population who are overweight,34.8,2017
NZL,Share of population who are overweight,31.0,2012
NZL,Share of population who are overweight,29.5,2013
NZL,Share of population who are overweight,29.7,2014
NZL,Share of population who are overweight,29.5,2015
NZL,Share of population who are overweight,30.8,2016
NZL,Share of population who are overweight,30.0,2017
NZL,Share of population who are overweight,29.7,2018
NZL,Share of population who are overweight,29.5,2019
NZL,Share of population who are overweight,30.7,2020
NZL,Share of population who are overweight,29.6,2021
IRL,Share of population who are overweight or obese,61.0,2015
IRL,Share of population who are overweight or obese,62.0,2017
IRL,Share of population who are overweight or obese,61.0,2019
MEX,Share of population who are overweight or obese,69.4,2012
MEX,Share of population who are overweight or obese,69.4,2016
MEX,Share of population who are overweight or obese,73.0,2018
MEX,Share of population who are overweight or obese,72.1,2020
USA,Share of population who are overweight or obese,68.8,2010
USA,Share of population who are overweight or obese,68.6,2012
USA,Share of population who are overweight or obese,70.1,2014
USA,Share of population who are overweight or obese,71.0,2016
USA,Share of population who are overweight or obese,73.1,2018
SVK,Share of population consuming vegetables daily,37.8,2014
SVK,Share of population consuming vegetables daily,42.8,2019
EST,Share of population consuming vegetables daily,49.1,2014
EST,Share of population consuming vegetables daily,40.9,2019
AUS,Share of population who are daily smokers,15.3,2010
AUS,Share of population who are daily smokers,13.0,2013
AUS,Share of population who are daily smokers,12.4,2016
AUS,Share of population who are daily smokers,11.2,2019
FRA,Share of population who are daily smokers,33.4,2010
FRA,Share of population who are daily smokers,27.9,2012
FRA,Share of population who are daily smokers,37.2,2014
FRA,Share of population who are daily smokers,36.7,2016
FRA,Share of population who are daily smokers,32.0,2017
FRA,Share of population who are daily smokers,31.0,2018
FRA,Share of population who are daily smokers,31.8,2019
FRA,Share of population who are daily smokers,31.7,2020
FRA,Share of population who are daily smokers,28.3,2021
MEX,Share of population consuming vegetables daily,57.5,2012
MEX,Share of population consuming vegetables daily,50.7,2020
KOR,Share of population consuming vegetables daily,99.4,2010
KOR,Share of population consuming vegetables daily,99.2,2011
KOR,Share of population consuming vegetables daily,99.2,2012
KOR,Share of population consuming vegetables daily,99.4,2013
KOR,Share of population consuming vegetables daily,99.1,2014
KOR,Share of population consuming vegetables daily,99.1,2015
KOR,Share of population consuming vegetables daily,99.2,2016
KOR,Share of population consuming vegetables daily,99.0,2017
KOR,Share of population consuming vegetables daily,98.8,2018
KOR,Share of population consuming vegetables daily,99.0,2019
KOR,Share of population consuming vegetables daily,98.4,2020
KOR,Share of population consuming vegetables daily,98.7,2021
CHE,Tobacco consumption,10.6,2012
CHE,Tobacco consumption,10.0,2017
RUS,Share of population who are daily smokers,49.5,2016
RUS,Share of population who are daily smokers,45.9,2017
RUS,Share of population who are daily smokers,44.7,2018
RUS,Share of population who are daily smokers,43.2,2019
CHE,Share of population who are overweight,22.6,2012
CHE,Share of population who are overweight,22.7,2017
ITA,Share of population who are obese,10.3,2010
ITA,Share of population who are obese,10.0,2011
ITA,Share of population who are obese,10.4,2012
ITA,Share of population who are obese,10.3,2013
ITA,Share of population who are obese,10.3,2014
ITA,Share of population who are obese,9.8,2015
ITA,Share of population who are obese,10.4,2016
ITA,Share of population who are obese,10.6,2017
ITA,Share of population who are obese,10.7,2018
ITA,Share of population who are obese,11.0,2019
ITA,Share of population who are obese,11.5,2020
ITA,Share of population who are obese,12.0,2021
NLD,Share of population who are overweight or obese,42.9,2010
NLD,Share of population who are overweight or obese,43.0,2011
NLD,Share of population who are overweight or obese,42.3,2012
NLD,Share of population who are overweight or obese,41.1,2013
NLD,Share of population who are overweight or obese,44.5,2014
NLD,Share of population who are overweight or obese,43.7,2015
NLD,Share of population who are overweight or obese,45.0,2016
NLD,Share of population who are overweight or obese,44.2,2017
NLD,Share of population who are overweight or obese,45.7,2018
NLD,Share of population who are overweight or obese,43.9,2019
NLD,Share of population who are overweight or obese,45.5,2020
NLD,Share of population who are overweight or obese,46.1,2021
SWE,Share of population who are overweight or obese,53.9,2010
SWE,Share of population who are overweight or obese,53.6,2011
SWE,Share of population who are overweight or obese,54.6,2012
SWE,Share of population who are overweight or obese,54.2,2013
SWE,Share of population who are overweight or obese,52.9,2014
SWE,Share of population who are overweight or obese,55.3,2015
SWE,Share of population who are overweight or obese,56.1,2016
SWE,Share of population who are overweight or obese,56.1,2017
SWE,Share of population who are overweight or obese,56.6,2018
SWE,Share of population who are overweight or obese,55.3,2019
SWE,Share of population who are overweight or obese,56.7,2020
SWE,Share of population who are overweight or obese,57.2,2021
EST,Share of population who are obese,18.0,2014
IRL,Share of population who are overweight or obese,54.0,2015
IRL,Share of population who are overweight or obese,54.0,2017
IRL,Share of population who are overweight or obese,55.0,2019
LVA,Share of population who are daily smokers,24.6,2014
LVA,Share of population who are daily smokers,22.6,2019
COL,Share of population consuming vegetables daily,84.3,2015
ZAF,Share of population who are daily smokers,34.1,2010
ZAF,Share of population who are daily smokers,34.5,2015
ZAF,Share of population who are daily smokers,34.3,2018
ZAF,Share of population who are daily smokers,34.5,2019
ZAF,Share of population who are daily smokers,34.6,2020
GBR,Share of population who are daily smokers,23.8,2010
GBR,Share of population who are daily smokers,24.5,2011
GBR,Share of population who are daily smokers,22.6,2012
GBR,Share of population who are daily smokers,20.3,2013
GBR,Share of population who are daily smokers,20.9,2014
GBR,Share of population who are daily smokers,22.9,2015
GBR,Share of population who are daily smokers,16.0,2016
GBR,Share of population who are daily smokers,15.7,2017
GBR,Share of population who are daily smokers,18.4,2018
GBR,Share of population who are daily smokers,15.2,2019
GBR,Share of population who are daily smokers,14.4,2020
GBR,Share of population who are daily smokers,12.7,2021
HUN,Share of population consuming fruits daily,52.8,2014
HUN,Share of population consuming fruits daily,49.3,2019
ROU,Share of population who are overweight or obese,69.6,2014
ROU,Share of population who are overweight or obese,75.0,2019
BRA,Share of population who are daily smokers,12.7,2010
BRA,Share of population who are daily smokers,14.6,2011
BRA,Share of population who are daily smokers,12.5,2012
BRA,Share of population who are daily smokers,10.3,2013
BRA,Share of population who are daily smokers,9.1,2014
BRA,Share of population who are daily smokers,9.7,2015
BRA,Share of population who are daily smokers,9.4,2016
BRA,Share of population who are daily smokers,10.7,2017
BRA,Share of population who are daily smokers,8.8,2018
BRA,Share of population who are daily smokers,9.9,2019
BRA,Share of population who are daily smokers,8.4,2020
BRA,Share of population who are daily smokers,7.2,2021
DNK,Share of population consuming fruits daily,66.4,2010
DNK,Share of population consuming fruits daily,61.7,2013
DNK,Share of population consuming fruits daily,53.0,2014
DNK,Share of population consuming fruits daily,52.2,2017
DNK,Share of population consuming fruits daily,46.2,2019
DNK,Share of population consuming fruits daily,45.3,2021
CAN,Share of population who are daily smokers,13.7,2010
CAN,Share of population who are daily smokers,14.0,2011
CAN,Share of population who are daily smokers,13.5,2012
CAN,Share of population who are daily smokers,12.9,2013
CAN,Share of population who are daily smokers,11.7,2014
CAN,Share of population who are daily smokers,11.3,2015
CAN,Share of population who are daily smokers,10.8,2016
CAN,Share of population who are daily smokers,10.0,2017
CAN,Share of population who are daily smokers,9.7,2018
CAN,Share of population who are daily smokers,8.7,2019
CAN,Share of population who are daily smokers,7.6,2020
CAN,Share of population who are daily smokers,7.9,2021
PRT,Share of population consuming fruits daily,70.9,2014
PRT,Share of population consuming fruits daily,66.4,2019
USA,Share of population consuming fruits daily,54.3,2011
USA,Share of population consuming fruits daily,52.3,2014
USA,Share of population consuming fruits daily,54.9,2015
USA,Share of population consuming fruits daily,50.1,2018
MEX,Share of population who are daily smokers,5.5,2011
MEX,Share of population who are daily smokers,3.6,2015
MEX,Share of population who are daily smokers,3.1,2016
MEX,Share of population who are daily smokers,3.7,2018
MEX,Share of population who are daily smokers,2.9,2020
MEX,Share of population who are daily smokers,4.4,2021
DEU,Share of population consuming fruits daily,50.3,2010
DEU,Share of population consuming fruits daily,48.1,2012
DEU,Share of population consuming fruits daily,38.7,2014
DEU,Share of population consuming fruits daily,45.4,2019
CHL,Share of population consuming fruits daily,39.8,2016
FRA,Share of population who are overweight,29.9,2010
FRA,Share of population who are overweight,29.9,2012
FRA,Share of population who are overweight,30.8,2014
FRA,Share of population who are overweight,30.7,2017
FRA,Share of population who are overweight,30.9,2019
ESP,Share of population who are overweight,36.1,2011
ESP,Share of population who are overweight,35.1,2014
ESP,Share of population who are overweight,36.2,2017
ESP,Share of population who are overweight,35.3,2020
GBR,Share of population who are overweight,35.2,2017
GBR,Share of population who are overweight,37.8,2021
CAN,Share of population who are obese,19.1,2010
CAN,Share of population who are obese,19.1,2011
CAN,Share of population who are obese,18.1,2012
CAN,Share of population who are obese,19.5,2013
CAN,Share of population who are obese,21.1,2014
CAN,Share of population who are obese,20.5,2015
CAN,Share of population who are obese,21.3,2016
CAN,Share of population who are obese,20.5,2017
CAN,Share of population who are obese,20.7,2018
CAN,Share of population who are obese,21.2,2019
CAN,Share of population who are obese,21.2,2020
CAN,Share of population who are obese,22.2,2021
ITA,Share of population who are obese,9.6,2010
ITA,Share of population who are obese,9.4,2011
ITA,Share of population who are obese,9.5,2012
ITA,Share of population who are obese,9.3,2013
ITA,Share of population who are obese,9.7,2014
ITA,Share of population who are obese,9.0,2015
ITA,Share of population who are obese,9.8,2016
ITA,Share of population who are obese,9.4,2017
ITA,Share of population who are obese,9.8,2018
ITA,Share of population who are obese,10.3,2019
ITA,Share of population who are obese,10.8,2020
ITA,Share of population who are obese,11.1,2021
NOR,Share of population who are overweight or obese,38.0,2012
NOR,Share of population who are overweight or obese,37.0,2015
NOR,Share of population who are overweight or obese,41.0,2019
NOR,Share of population who are overweight or obese,44.0,2022
CAN,Share of population who are overweight,28.6,2011
CAN,Share of population who are overweight,28.0,2013
CAN,Share of population who are overweight,32.2,2015
CAN,Share of population who are overweight,28.5,2017
CAN,Share of population who are overweight,31.4,2019
IND,Share of population who are obese,3.6,2010
IND,Share of population who are obese,3.8,2011
IND,Share of population who are obese,4.0,2012
IND,Share of population who are obese,4.2,2013
IND,Share of population who are obese,4.4,2014
IND,Share of population who are obese,4.7,2015
IND,Share of population who are obese,4.9,2016
HUN,Share of population who are overweight or obese,62.3,2014
HUN,Share of population who are overweight or obese,67.6,2019
SVN,Share of population consuming fruits daily,68.6,2014
SVN,Share of population consuming fruits daily,63.6,2019
ESP,Share of population consuming vegetables daily,41.9,2011
ESP,Share of population consuming vegetables daily,39.0,2014
ESP,Share of population consuming vegetables daily,35.7,2017
ESP,Share of population consuming vegetables daily,41.0,2020
FIN,Share of population consuming fruits daily,41.4,2010
FIN,Share of population consuming fruits daily,40.0,2011
FIN,Share of population consuming fruits daily,38.7,2012
FIN,Share of population consuming fruits daily,38.0,2013
FIN,Share of population consuming fruits daily,40.6,2014
FIN,Share of population consuming fruits daily,42.2,2015
FIN,Share of population consuming fruits daily,40.0,2016
FIN,Share of population consuming fruits daily,41.0,2017
FIN,Share of population consuming fruits daily,51.0,2018
FIN,Share of population consuming fruits daily,52.0,2019
FIN,Share of population consuming fruits daily,51.0,2020
GRC,Share of population who are daily smokers,18.5,2014
GRC,Share of population who are daily smokers,14.4,2019
LVA,Share of population who are daily smokers,25.2,2014
LVA,Share of population who are daily smokers,20.4,2019
CHE,Share of population who are daily smokers,22.7,2012
CHE,Share of population who are daily smokers,19.5,2017
BEL,Share of population who are daily smokers,16.4,2013
BEL,Share of population who are daily smokers,12.1,2018
NZL,Share of population consuming vegetables daily,97.5,2012
NZL,Share of population consuming vegetables daily,96.3,2013
NZL,Share of population consuming vegetables daily,96.1,2014
NZL,Share of population consuming vegetables daily,96.5,2015
NZL,Share of population consuming vegetables daily,96.1,2016
NZL,Share of population consuming vegetables daily,96.3,2017
NZL,Share of population consuming vegetables daily,96.7,2018
NZL,Share of population consuming vegetables daily,95.9,2019
NZL,Share of population consuming vegetables daily,96.5,2020
NZL,Share of population consuming vegetables daily,96.0,2021
NZL,Share of population consuming vegetables daily,96.4,2022
CZE,Share of population who are daily smokers,29.3,2010
CZE,Share of population who are daily smokers,24.7,2011
CZE,Share of population who are daily smokers,26.3,2012
CZE,Share of population who are daily smokers,27.2,2013
CZE,Share of population who are daily smokers,26.4,2014
CZE,Share of population who are daily smokers,21.8,2015
CZE,Share of population who are daily smokers,23.8,2016
CZE,Share of population who are daily smokers,22.6,2017
CZE,Share of population who are daily smokers,24.5,2018
CZE,Share of population who are daily smokers,21.1,2019
CZE,Share of population who are daily smokers,21.2,2020
CZE,Share of population who are daily smokers,22.0,2021
HRV,Share of population who are obese,16.2,2014
HRV,Share of population who are obese,22.2,2019
FIN,Share of population who are overweight,34.1,2010
FIN,Share of population who are overweight,34.1,2011
FIN,Share of population who are overweight,33.5,2012
FIN,Share of population who are overweight,34.2,2013
FIN,Share of population who are overweight,33.8,2014
FIN,Share of population who are overweight,37.3,2015
FIN,Share of population who are overweight,37.0,2016
FIN,Share of population who are overweight,38.0,2017
FIN,Share of population who are overweight,35.0,2018
FIN,Share of population who are overweight,36.0,2019
FIN,Share of population who are overweight,37.0,2020
AUT,Share of population who are obese,15.6,2014
AUT,Share of population who are obese,16.3,2017
AUT,Share of population who are obese,18.1,2019
IRL,Share of population who are obese,18.0,2015
IRL,Share of population who are obese,26.0,2019
IRL,Share of population who are obese,21.0,2022
AUT,Share of population who are overweight or obese,46.7,2014
AUT,Share of population who are overweight or obese,51.1,2019
CZE,Share of population who are overweight or obese,63.2,2014
CZE,Share of population who are overweight or obese,68.1,2019
ESP,Share of population who are overweight or obese,61.9,2011
ESP,Share of population who are overweight or obese,59.3,2014
ESP,Share of population who are overweight or obese,60.7,2017
ESP,Share of population who are overweight or obese,58.1,2020
NZL,Share of population who are overweight,35.6,2012
NZL,Share of population who are overweight,33.9,2013
NZL,Share of population who are overweight,35.1,2014
NZL,Share of population who are overweight,34.9,2015
NZL,Share of population who are overweight,35.2,2016
NZL,Share of population who are overweight,34.5,2017
NZL,Share of population who are overweight,34.6,2018
NZL,Share of population who are overweight,34.2,2019
NZL,Share of population who are overweight,35.2,2020
NZL,Share of population who are overweight,33.7,2021
COL,Share of population who are overweight,37.2,2010
COL,Share of population who are overweight,37.2,2015
AUT,Share of population consuming vegetables daily,55.0,2014
AUT,Share of population consuming vegetables daily,55.4,2019
ESP,Share of population consuming fruits daily,65.2,2011
ESP,Share of population consuming fruits daily,70.8,2014
ESP,Share of population consuming fruits daily,70.2,2017
ESP,Share of population consuming fruits daily,71.2,2020
DEU,Share of population who are daily smokers,18.5,2013
DEU,Share of population who are daily smokers,14.2,2017
DEU,Share of population who are daily smokers,9.9,2021
AUT,Share of population who are daily smokers,22.1,2014
AUT,Share of population who are daily smokers,17.8,2019
ESP,Tobacco consumption,13.8,2011
ESP,Tobacco consumption,13.2,2014
ESP,Tobacco consumption,12.3,2017
ESP,Tobacco consumption,12.0,2020
GRC,Share of population who are overweight,31.7,2014
GRC,Share of population who are overweight,33.2,2019
AUS,Share of population who are overweight or obese,47.6,2017
DNK,Share of population who are overweight or obese,54.3,2010
DNK,Share of population who are overweight or obese,54.3,2013
DNK,Share of population who are overweight or obese,57.7,2017
DNK,Share of population who are overweight or obese,59.1,2021
NLD,Share of population who are overweight or obese,48.2,2010
NLD,Share of population who are overweight or obese,48.2,2011
NLD,Share of population who are overweight or obese,47.9,2012
NLD,Share of population who are overweight or obese,45.6,2013
NLD,Share of population who are overweight or obese,48.2,2014
NLD,Share of population who are overweight or obese,47.4,2015
NLD,Share of population who are overweight or obese,47.6,2016
NLD,Share of population who are overweight or obese,47.3,2017
NLD,Share of population who are overweight or obese,48.5,2018
NLD,Share of population who are overweight or obese,48.4,2019
NLD,Share of population who are overweight or obese,48.4,2020
NLD,Share of population who are overweight or obese,48.5,2021
FRA,Share of population who are obese,17.4,2015
FRA,Share of population who are obese,16.4,2017
DEU,Share of population who are obese,23.9,2012
ISR,Share of population who are overweight or obese,46.4,2015
ROU,Share of population who are daily smokers,32.2,2014
ROU,Share of population who are daily smokers,30.6,2019
BEL,Share of population consuming vegetables daily,81.4,2013
BEL,Share of population consuming vegetables daily,79.4,2018
DNK,Share of population consuming fruits daily,76.1,2010
DNK,Share of population consuming fruits daily,70.2,2013
DNK,Share of population consuming fruits daily,62.2,2014
DNK,Share of population consuming fruits daily,59.3,2017
DNK,Share of population consuming fruits daily,53.4,2019
DNK,Share of population consuming fruits daily,51.5,2021
SWE,Share of population consuming fruits daily,72.9,2010
SWE,Share of population consuming fruits daily,71.4,2011
SWE,Share of population consuming fruits daily,71.4,2012
SWE,Share of population consuming fruits daily,70.0,2013
SWE,Share of population consuming fruits daily,71.3,2014
SWE,Share of population consuming fruits daily,70.2,2015
SWE,Share of population consuming fruits daily,68.3,2016
SWE,Share of population consuming fruits daily,67.7,2018
SWE,Share of population consuming fruits daily,66.7,2020
SWE,Share of population consuming fruits daily,66.1,2021
SWE,Share of population consuming fruits daily,64.9,2022
GBR,Share of population who are daily smokers,23.1,2010
GBR,Share of population who are daily smokers,24.2,2011
GBR,Share of population who are daily smokers,22.2,2012
GBR,Share of population who are daily smokers,23.4,2013
GBR,Share of population who are daily smokers,23.1,2014
GBR,Share of population who are daily smokers,23.5,2015
GBR,Share of population who are daily smokers,16.6,2016
GBR,Share of population who are daily smokers,19.9,2017
GBR,Share of population who are daily smokers,23.6,2018
GBR,Share of population who are daily smokers,18.3,2019
GBR,Share of population who are daily smokers,15.2,2020
GBR,Share of population who are daily smokers,13.1,2021
NLD,Share of population who are daily smokers,18.8,2010
NLD,Share of population who are daily smokers,18.3,2011
NLD,Share of population who are daily smokers,16.3,2012
NLD,Share of population who are daily smokers,16.3,2013
NLD,Share of population who are daily smokers,16.7,2014
NLD,Share of population who are daily smokers,16.9,2015
NLD,Share of population who are daily smokers,15.2,2016
NLD,Share of population who are daily smokers,14.1,2017
NLD,Share of population who are daily smokers,13.4,2018
NLD,Share of population who are daily smokers,13.1,2019
NLD,Share of population who are daily smokers,13.1,2020
NLD,Share of population who are daily smokers,11.9,2021
SVK,Share of population who are daily smokers,30.4,2014
SVK,Share of population who are daily smokers,26.9,2019
RUS,Share of population who are obese,21.6,2018
BRA,Share of population who are daily smokers,14.1,2010
BRA,Share of population who are daily smokers,13.4,2011
BRA,Share of population who are daily smokers,12.1,2012
BRA,Share of population who are daily smokers,11.3,2013
BRA,Share of population who are daily smokers,10.8,2014
BRA,Share of population who are daily smokers,10.4,2015
BRA,Share of population who are daily smokers,10.2,2016
BRA,Share of population who are daily smokers,10.1,2017
BRA,Share of population who are daily smokers,9.3,2018
BRA,Share of population who are daily smokers,9.8,2019
BRA,Share of population who are daily smokers,9.5,2020
BRA,Share of population who are daily smokers,9.1,2021
USA,Share of population who are overweight,28.3,2010
USA,Share of population who are overweight,28.3,2011
USA,Share of population who are overweight,27.8,2012
USA,Share of population who are overweight,28.0,2013
USA,Share of population who are overweight,28.2,2014
USA,Share of population who are overweight,28.2,2015
USA,Share of population who are overweight,29.0,2016
USA,Share of population who are overweight,28.6,2017
USA,Share of population who are overweight,28.6,2018
USA,Share of population who are overweight,29.0,2019
USA,Share of population who are overweight,28.7,2020
USA,Share of population who are overweight,28.6,2021
CHL,Share of population who are overweight,36.4,2016
EST,Share of population who are overweight,40.7,2014
FIN,Share of population who are obese,25.8,2011
FIN,Share of population who are obese,21.5,2012
FIN,Share of population who are obese,27.5,2017
JPN,Share of population who are overweight or obese,21.1,2010
JPN,Share of population who are overweight or obese,21.5,2011
JPN,Share of population who are overweight or obese,19.4,2012
JPN,Share of population who are overweight or obese,20.3,2013
JPN,Share of population who are overweight or obese,21.3,2014
JPN,Share of population who are overweight or obese,19.2,2015
JPN,Share of population who are overweight or obese,20.6,2016
JPN,Share of population who are overweight or obese,21.9,2017
JPN,Share of population who are overweight or obese,21.9,2018
JPN,Share of population who are overweight or obese,22.3,2019
ROU,Share of population consuming vegetables daily,27.7,2014
ROU,Share of population consuming vegetables daily,15.3,2019
EST,Share of population consuming fruits daily,58.9,2014
EST,Share of population consuming fruits daily,56.1,2019
MEX,Share of population consuming vegetables daily,57.6,2012
MEX,Share of population consuming vegetables daily,48.8,2020
CAN,Share of population consuming vegetables daily,80.3,2010
CAN,Share of population consuming vegetables daily,79.8,2011
CAN,Share of population consuming vegetables daily,79.6,2012
CAN,Share of population consuming vegetables daily,80.0,2013
CAN,Share of population consuming vegetables daily,81.2,2014
CAN,Share of population consuming vegetables daily,65.1,2015
CAN,Share of population consuming vegetables daily,66.9,2016
CAN,Share of population consuming vegetables daily,64.6,2017
CAN,Share of population consuming vegetables daily,64.5,2020
CAN,Share of population consuming vegetables daily,60.5,2021
ISL,Share of population who are daily smokers,11.5,2010
ISL,Share of population who are daily smokers,8.9,2011
ISL,Share of population who are daily smokers,13.3,2012
